review_id,original_review,review_length,lexical_diversity,avg_word_length,sentiment_polarity,sentiment_subjectivity,language_complexity,repetition_ratio,exclamation_count,question_count,capital_usage,punctuation_density,label
1,I was in  the envy of my coworkers !,2,1.0,6.5,0.0,0.0,82.39000000000001,0.0,1,0,0.0,0.5,Genuine
2,"Well, that's that... I gave Jordan three chances to get the series back to what it used to be, and it's just not happening.  I won't be buying another Wheel of Time book in hardcover. In fact, I may just go to the library and check a copy out next time, rather than even buying it in paperback.
I use",29,0.896551724137931,4.724137931034483,0.0,0.0,86.085,0.10344827586206896,0,0,0.0,0.3448275862068966,Genuine
3,"This book is typical of the genre and is filled with angst, smoking hot scenes and complete and utter denial and misunderstandings. It covers all of the bases that fans have come to expect. Two people who are complete opposites find themselves attracted to each other but have a million reasons why t",25,0.96,5.92,-0.07380952380952381,0.5928571428571429,62.80144654088052,0.04,0,0,0.0,0.12,Genuine
4,Let me start off by telling you that this story is not your typical romance story. Is it even possible to be able to find romance between an addict and a former addict ? In this story there are quite a few dark moments that have you holding your breath and praying and hoping for the best. What I lov,25,0.84,5.0,0.19722222222222222,0.47083333333333327,82.88747881355935,0.16,0,1,0.0,0.12,Genuine
5,"I liked the story.  By now you know what the story is about so I won't go into that.  I thought the storyline was good.  I did feel sorry for the Hero who was cheated out of 10 years of his son's life.  He was 2 years older than her and she was a college graduate, so he had to be around 25 or so.  I",23,0.9130434782608695,4.478260869565218,0.22499999999999995,0.6500000000000001,93.12454545454547,0.08695652173913043,0,0,0.0,0.2608695652173913,Genuine
6,"As always this was a great book, I was worried because after reading the second book I thought that it was the last book and felt it had a good ending, so I wondered how this book would go. But it was great, I loved that they had their problems, but they always stayed together. Gabriel was great as ",25,0.76,5.04,0.5142857142857142,0.5023809523809525,80.76485875706216,0.24,0,0,0.0,0.24,Genuine
7,"I was pleasantly surprised by this little gem! I ordered it and watched it because I had read some of the more positive reviews and also because I seem to ""share"" my taste in movies with a few other customers so I always look at what they said, first, and if they like and/or love it, I usually do, a",22,1.0,5.545454545454546,0.10662878787878788,0.5214646464646465,63.61453389830511,0.0,1,0,0.0,0.22727272727272727,Genuine
8,First and foremost they claim this is an BBW romance. The author never mentuons that in the book but they do talk about all the time in the gym she spends and how proud she is of her body and her beauty. How he touches her taut abs and toned legs and so on. Yes you can be curvy and fit but I didn't ,24,1.0,4.666666666666667,0.4833333333333334,0.5777777777777778,90.13250000000001,0.0,0,0,0.015625,0.125,Genuine
9,"UPDATED Mon June 20, 2016 for Grammatical and Structural Issues:

ORIGINAL REVIEW WRITTEN IN 2002:

This is an entertaining book, once again not for people under the age of 12, because of some of the content, but Meg Cabot has this way of writing in making all these situations hilarious while mixing",26,0.9615384615384616,5.423076923076923,0.4375,0.875,23.901153846153846,0.038461538461538464,0,0,0.09615384615384616,0.23076923076923078,Genuine
10,"I received this book free for review. I am not being compensated or influenced.

I could not put this book down. I devoured it in a matter of an hour and a little bit, and it blew my mind. Devlin is by far one of my favorite male leads of anything Ive read this year. Hes strong, smart, sensitive and",30,0.9666666666666667,5.166666666666667,0.19501488095238095,0.7095238095238096,86.70500000000001,0.03333333333333333,0,0,0.0,0.26666666666666666,Genuine
